account   age,merchant,amount
4,M348934600,4.55
2,M348934600,39.68
4,M1823072687,26.89
3,M348934600,17.25
5,M348934600,35.72
3,M348934600,25.81
1,M348934600,9.1
4,M348934600,21.17
3,M348934600,32.4
5,M348934600,35.4
4,M348934600,14.95
1,M1823072687,1.51
3,M50039827,68.79
5,M1823072687,20.32
3,M348934600,13.56
3,M348934600,30.19
4,M1823072687,17.54
5,M348934600,40.69
2,M348934600,21.21
2,M348934600,10.09
2,M348934600,19.31
2,M348934600,44.22
5,M348934600,44.39
5,M348934600,30.72
2,M348934600,29.84
3,M348934600,12.1
4,M348934600,24.84
2,M348934600,16.42
5,M348934600,2.19
5,M348934600,32.27
4,M348934600,28.09
5,M1823072687,16.13
2,M348934600,32.7
2,M348934600,25.53
4,M348934600,39.22
5,M348934600,46.14
2,M348934600,29.55
2,M1823072687,36.88
2,M348934600,36.15
5,M348934600,2.81
2,M1888755466,85.74
2,M1823072687,11.17
4,M1053599405,85.74
3,M348934600,15.25
2,M348934600,33.36
4,M348934600,32.96
2,M348934600,16.96
3,M1823072687,49.91
2,M348934600,0.93
2,M348934600,37.71
2,M1823072687,12.53
2,M348934600,56.97
2,M348934600,31.32
5,M348934600,21.15
1,M348934600,3.12
3,M348934600,33.41
6,M1823072687,45.92
3,M348934600,36.82
3,M1823072687,20.05
2,M348934600,43.75
4,M348934600,44.88
1,M348934600,18.45
2,M348934600,29.66
2,M348934600,28.38
5,M348934600,62.76
6,M348934600,21.6
2,M348934600,30.74
5,M348934600,58.33
4,M348934600,44.07
5,M348934600,6.52
4,M1823072687,2.96
2,M348934600,44.69
2,M1823072687,5.01
2,M348934600,9.74
2,M348934600,10.1
4,M348934600,58.64
2,M348934600,29.2
2,M85975013,32.6
2,M348934600,52.35
2,M1053599405,85.74
3,M348934600,26.37
2,M348934600,49.07
2,M348934600,35.74
5,M1823072687,47.53
5,M348934600,29.87
2,M348934600,20.31
3,M348934600,10.59
2,M348934600,21.92
3,M480139044,44.26
3,M480139044,85.74
1,M1823072687,26.07
2,M348934600,10.88
4,M348934600,8.05
3,M348934600,25.59
5,M348934600,15.26
3,M348934600,20.73
1,M348934600,68.17
3,M348934600,34.75
2,M692898500,85.74
6,M348934600,50.31
3,M348934600,17.87
2,M348934600,5.96
3,M1823072687,13.08
6,M348934600,51.99
2,M348934600,9.54
2,M1823072687,61.33
3,M348934600,47.72
3,M348934600,1.72
6,M348934600,8.14
3,M348934600,43.76
2,M348934600,52.36
6,M1823072687,14.2
6,M1823072687,2.06
4,M348934600,45.32
3,M348934600,10.38
3,M348934600,2.46
2,M348934600,40.15
4,M348934600,4.96
2,M348934600,43.55
3,M348934600,8.56
5,M348934600,28.06
5,M348934600,7.89
5,M348934600,44.59
4,M348934600,10.84
3,M348934600,13.35
2,M348934600,10.49
5,M348934600,6.19
1,M348875670,85.74
1,M348934600,23.97
1,M348934600,7.75
2,M151143676,36.41
4,M1053599405,11.83
3,M1823072687,4.23
2,M348934600,11.23
4,M348934600,20.55
2,M348934600,43.78
4,M348934600,10.96
3,M348934600,33.27
5,M692898500,85.74
5,M348934600,38.38
2,M348934600,1.01
3,M348934600,31.73
2,M348934600,13.33
2,M348934600,68.39
2,M348934600,2.46
3,M1823072687,33.71
3,M348934600,39.96
1,M348934600,17.56
6,M840466850,85.74
3,M348934600,23.24
3,M348934600,26.46
3,M348934600,13.56
2,M348934600,25.53
1,M1741626453,11.83
1,M348934600,24.15
2,M348934600,2.63
2,M348934600,31.2
2,M348934600,4.15
2,M348934600,29.95
3,M348934600,58.95
1,M1053599405,7.94
2,M348934600,37.8
3,M348934600,55.19
5,M348934600,32.95
4,M1823072687,50.9
3,M348934600,15.69
4,M348934600,14.36
2,M1823072687,50.57
3,M348934600,37.73
2,M348934600,30.98
2,M348934600,10.37
3,M348934600,64.69
3,M1823072687,44.5
1,M348934600,5.5
3,M348934600,30.86
2,M348934600,61.83
3,M348934600,55.55
4,M348934600,73.36
2,M348934600,47.14
2,M348934600,14.55
6,M348934600,44.22
3,M348934600,38.2
2,M348934600,12.55
3,M348934600,0.1
3,M85975013,36.55
3,M348934600,15.04
5,M1823072687,54.45
5,M348934600,66.57
4,M348934600,56.93
4,M348934600,3.5
4,M348934600,11.78
3,M1535107174,52.38
3,M348934600,31.98
3,M348934600,27.98
2,M692898500,85.74
3,M1823072687,19.23
5,M1823072687,47.82
5,M348934600,28.6
1,M348934600,7.06
4,M85975013,49.59
3,M1823072687,12.16
1,M348934600,20.96
1,M85975013,36.9
2,M348934600,11.06
3,M1823072687,9.59
4,M348934600,41.33
1,M348934600,25.23
3,M855959430,2.09
1,M348934600,3.62
2,M348934600,24.29
1,M1823072687,22.84
3,M85975013,40.69
4,M348934600,5.31
4,M348934600,41.67
4,M348934600,30.57
1,M1823072687,8.71
1,M348934600,3.03
1,M348934600,13.72
2,M855959430,22.65
1,M348934600,19.73
4,M348934600,33.12
2,M348934600,6.09
5,M348934600,37.25
2,M348934600,19.97
2,M349281107,15.31
4,M348934600,19.19
3,M348934600,48.26
3,M349281107,79.71
3,M348934600,16.47
3,M348934600,54.54
3,M348934600,44.5
2,M348934600,35.39
4,M85975013,22.42
3,M348934600,67.88
2,M348934600,4.02
3,M1823072687,11.95
2,M348934600,16.6
2,M348934600,61.9
2,M348934600,48.24
2,M348934600,41.98
4,M348934600,5.67
2,M1823072687,17.37
4,M1823072687,14.87
2,M85975013,46.88
4,M348934600,2.81
3,M348934600,18.25
6,M348934600,8.6
3,M348934600,20.37
2,M348934600,25.95
3,M348934600,62.76
4,M348934600,17.36
2,M1823072687,71.65
2,M348934600,6.34
4,M209847108,85.74
2,M348934600,28.82
4,M348934600,19.55
2,M2122776122,85.74
5,M348934600,10.41
2,M85975013,30.92
4,M348934600,22.68
2,M348934600,50.9
3,M1823072687,49.54
3,M1823072687,38.58
3,M348934600,1.95
2,M1823072687,16.4
2,M348934600,4.19
2,M1823072687,62.11
2,M348934600,15.84
3,M348934600,31.45
1,M348934600,26.7
3,M348934600,51.36
3,M348934600,21.61
4,M348934600,17.76
3,M151143676,23.56
2,M348934600,15.87
3,M1823072687,1.21
4,M348934600,46.29
4,M348934600,21.5
1,M1823072687,31.51
2,M348934600,44.31
4,M348934600,38.26
2,M1823072687,15.49
3,M1873032707,71.76
2,M2011752106,85.74
4,M348934600,44.57
4,M348934600,21.21
3,M348934600,24.87
1,M348934600,19.38
2,M348934600,55.7
6,M348934600,16.78
4,M348934600,31.9
2,M1823072687,31.59
2,M348934600,8.66
2,M348934600,6.21
2,M348934600,57.17
4,M1823072687,24.57
4,M348934600,4.2
2,M348934600,26.52
5,M348934600,31.93
1,M1535107174,55.3
5,M348934600,31.14
1,M1823072687,14.36
3,M1823072687,26.93
3,M348934600,19.42
2,M348934600,36.62
2,M348934600,1.18
4,M348934600,11.41
2,M348934600,16.1
2,M1823072687,35.61
2,M348934600,27.32
4,M348934600,3.3
2,M348934600,28.13
6,M857378720,49
3,M348934600,79.35
2,M1198415165,85.74
5,M348934600,17.51
5,M348934600,15.72
2,M348934600,61.93
2,M1823072687,18.81
3,M348934600,38.88
5,M1823072687,33.02
2,M348934600,51.86
1,M1748431652,45.19
1,M209847108,60.71
3,M348934600,38.78
2,M348934600,38.92
4,M348934600,11.73
